Operation,ImageSize,ThreadCount,ProcessingTime,ImageWidth,ImageHeight,TotalPixels,FileSize
Encode,2000x1333,1,168.571,2000,1333,2666000,4284859
Encode,4736x2688,1,679.201,4736,2688,12730368,21806019
Encode,5376x8064,1,1688.131,5376,8064,43352064,19308896
Encode,4000x6000,1,1322.76,4000,6000,24000000,34198155
Encode,1024x1024,1,76.13,1024,1024,1048576,2806504
Encode,1024x1024,1,68.834,1024,1024,1048576,1948436
Encode,768x512,1,25.262,768,512,393216,675290
Encode,2700x3840,1,472.591,2700,3840,10368000,5739216
Encode,5860x3907,1,1055.647,5860,3907,22895020,17685239
Encode,3456x4608,1,639.401,3456,4608,15925248,12172778
Encode,3648x5472,1,1287.564,3648,5472,19961856,46376820
Encode,3007x4511,1,808.499,3007,4511,13564577,27709805
Encode,1152x858,1,60.55,1152,858,988416,1521220
Encode,2000x1333,2,97.964,2000,1333,2666000,4284859
Encode,4736x2688,2,428.762,4736,2688,12730368,21806019
Encode,5376x8064,2,982.605,5376,8064,43352064,19308896
Encode,4000x6000,2,750.594,4000,6000,24000000,34198155
Encode,1024x1024,2,46.391,1024,1024,1048576,2806504
Encode,1024x1024,2,38.708,1024,1024,1048576,1948436
Encode,768x512,2,17.506,768,512,393216,675290
Encode,2700x3840,2,276.259,2700,3840,10368000,5739216
Encode,5860x3907,2,615.615,5860,3907,22895020,17685239
Encode,3456x4608,2,408.616,3456,4608,15925248,12172778
Encode,3648x5472,2,748.97,3648,5472,19961856,46376820
Encode,3007x4511,2,468.008,3007,4511,13564577,27709805
Encode,1152x858,2,34.101,1152,858,988416,1521220
Encode,2000x1333,4,69.093,2000,1333,2666000,4284859
Encode,4736x2688,4,281.517,4736,2688,12730368,21806019
Encode,5376x8064,4,592.029,5376,8064,43352064,19308896
Encode,4000x6000,4,462.739,4000,6000,24000000,34198155
Encode,1024x1024,4,26.815,1024,1024,1048576,2806504
Encode,1024x1024,4,25.399,1024,1024,1048576,1948436
Encode,768x512,4,10.462,768,512,393216,675290
Encode,2700x3840,4,172.418,2700,3840,10368000,5739216
Encode,5860x3907,4,377.268,5860,3907,22895020,17685239
Encode,3456x4608,4,286.188,3456,4608,15925248,12172778
Encode,3648x5472,4,436.355,3648,5472,19961856,46376820
Encode,3007x4511,4,285.309,3007,4511,13564577,27709805
Encode,1152x858,4,23.373,1152,858,988416,1521220
Encode,2000x1333,6,56.895,2000,1333,2666000,4284859
Encode,4736x2688,6,225.22,4736,2688,12730368,21806019
Encode,5376x8064,6,494.227,5376,8064,43352064,19308896
Encode,4000x6000,6,373.655,4000,6000,24000000,34198155
Encode,1024x1024,6,22.099,1024,1024,1048576,2806504
Encode,1024x1024,6,21.099,1024,1024,1048576,1948436
Encode,768x512,6,10.095,768,512,393216,675290
Encode,2700x3840,6,133.522,2700,3840,10368000,5739216
Encode,5860x3907,6,310.563,5860,3907,22895020,17685239
Encode,3456x4608,6,205.24,3456,4608,15925248,12172778
Encode,3648x5472,6,356.276,3648,5472,19961856,46376820
Encode,3007x4511,6,236.8,3007,4511,13564577,27709805
Encode,1152x858,6,21.379,1152,858,988416,1521220
Encode,2000x1333,8,54.769,2000,1333,2666000,4284859
Encode,4736x2688,8,210.174,4736,2688,12730368,21806019
Encode,5376x8064,8,477.807,5376,8064,43352064,19308896
Encode,4000x6000,8,335.195,4000,6000,24000000,34198155
Encode,1024x1024,8,20.938,1024,1024,1048576,2806504
Encode,1024x1024,8,20.288,1024,1024,1048576,1948436
Encode,768x512,8,11.014,768,512,393216,675290
Encode,2700x3840,8,124.543,2700,3840,10368000,5739216
Encode,5860x3907,8,276.823,5860,3907,22895020,17685239
Encode,3456x4608,8,186.188,3456,4608,15925248,12172778
Encode,3648x5472,8,372.727,3648,5472,19961856,46376820
Encode,3007x4511,8,215.768,3007,4511,13564577,27709805
Encode,1152x858,8,19.97,1152,858,988416,1521220
Decode,2000x1333,1,110.968,2000,1333,2666000,6003227
Decode,4736x2688,1,446.876,4736,2688,12730368,26841452
Decode,5376x8064,1,957.782,5376,8064,43352064,20678234
Decode,4000x6000,1,902.934,4000,6000,24000000,40921978
Decode,1024x1024,1,42.401,1024,1024,1048576,3105468
Decode,1024x1024,1,41.47,1024,1024,1048576,2201634
Decode,768x512,1,13.598,768,512,393216,824064
Decode,2700x3840,1,261.204,2700,3840,10368000,5668111
Decode,5860x3907,1,673.564,5860,3907,22895020,16973216
Decode,3456x4608,1,384.672,3456,4608,15925248,12791471
Decode,3648x5472,1,786.121,3648,5472,19961856,53229081
Decode,3007x4511,1,497.679,3007,4511,13564577,31390146
Decode,1152x858,1,50.716,1152,858,988416,1924586
Decode,2000x1333,2,62.72,2000,1333,2666000,6003227
Decode,4736x2688,2,277.532,4736,2688,12730368,26841452
Decode,5376x8064,2,550.749,5376,8064,43352064,20678234
Decode,4000x6000,2,476.815,4000,6000,24000000,40921978
Decode,1024x1024,2,27.645,1024,1024,1048576,3105468
Decode,1024x1024,2,22.301,1024,1024,1048576,2201634
Decode,768x512,2,8.128,768,512,393216,824064
Decode,2700x3840,2,150.91,2700,3840,10368000,5668111
Decode,5860x3907,2,399.035,5860,3907,22895020,16973216
Decode,3456x4608,2,205.752,3456,4608,15925248,12791471
Decode,3648x5472,2,449.024,3648,5472,19961856,53229081
Decode,3007x4511,2,283.502,3007,4511,13564577,31390146
Decode,1152x858,2,24.284,1152,858,988416,1924586
Decode,2000x1333,4,37.566,2000,1333,2666000,6003227
Decode,4736x2688,4,154.347,4736,2688,12730368,26841452
Decode,5376x8064,4,334.066,5376,8064,43352064,20678234
Decode,4000x6000,4,282.307,4000,6000,24000000,40921978
Decode,1024x1024,4,17.017,1024,1024,1048576,3105468
Decode,1024x1024,4,15.854,1024,1024,1048576,2201634
Decode,768x512,4,6.026,768,512,393216,824064
Decode,2700x3840,4,95.919,2700,3840,10368000,5668111
Decode,5860x3907,4,231.003,5860,3907,22895020,16973216
Decode,3456x4608,4,142.365,3456,4608,15925248,12791471
Decode,3648x5472,4,277.273,3648,5472,19961856,53229081
Decode,3007x4511,4,171.902,3007,4511,13564577,31390146
Decode,1152x858,4,15.105,1152,858,988416,1924586
Decode,2000x1333,6,36.185,2000,1333,2666000,6003227
Decode,4736x2688,6,128.276,4736,2688,12730368,26841452
Decode,5376x8064,6,273.255,5376,8064,43352064,20678234
Decode,4000x6000,6,223.935,4000,6000,24000000,40921978
Decode,1024x1024,6,12.22,1024,1024,1048576,3105468
